date,vv_mean,vh_mean,sar_proxy,vv_file,vh_file
2023-01-01,180.8708,81.259,150.9873,s1a-iw-grd-vv-20230101t005459-20230101t005524-046583-059524-001.tiff,s1a-iw-grd-vh-20230101t005459-20230101t005524-046583-059524-002.tiff
2023-02-18,170.6688,78.498,143.0176,s1a-iw-grd-vv-20230218t005457-20230218t005522-047283-05acb0-001.tiff,s1a-iw-grd-vh-20230218t005457-20230218t005522-047283-05acb0-002.tiff
2023-03-14,169.6477,77.4924,142.0011,s1a-iw-grd-vv-20230314t005457-20230314t005522-047633-05b88a-001.tiff,s1a-iw-grd-vh-20230314t005457-20230314t005522-047633-05b88a-002.tiff
2023-04-07,171.3125,75.8142,142.663,s1a-iw-grd-vv-20230407t005458-20230407t005523-047983-05c455-001.tiff,s1a-iw-grd-vh-20230407t005458-20230407t005523-047983-05c455-002.tiff
2023-05-13,173.3873,75.8239,144.1183,s1a-iw-grd-vv-20230513t005500-20230513t005525-048508-05d5c0-001.tiff,s1a-iw-grd-vh-20230513t005500-20230513t005525-048508-05d5c0-002.tiff
2023-06-18,179.2998,72.5588,147.2775,s1a-iw-grd-vv-20230618t005501-20230618t005526-049033-05e580-001.tiff,s1a-iw-grd-vh-20230618t005501-20230618t005526-049033-05e580-002.tiff
2023-07-24,231.0374,94.3493,190.031,s1a-iw-grd-vv-20230724t005504-20230724t005529-049558-05f58f-001.tiff,s1a-iw-grd-vh-20230724t005504-20230724t005529-049558-05f58f-002.tiff
2023-08-17,201.6908,87.8234,167.5306,s1a-iw-grd-vv-20230817t005505-20230817t005530-049908-0600d4-001.tiff,s1a-iw-grd-vh-20230817t005505-20230817t005530-049908-0600d4-002.tiff
2023-09-22,246.7614,111.9252,206.3105,s1a-iw-grd-vv-20230922t005506-20230922t005531-050433-0612b8-001.tiff,s1a-iw-grd-vh-20230922t005506-20230922t005531-050433-0612b8-002.tiff
2023-10-16,199.2096,89.0139,166.1509,s1a-iw-grd-vv-20231016t005507-20231016t005532-050783-061ec5-001.tiff,s1a-iw-grd-vh-20231016t005507-20231016t005532-050783-061ec5-002.tiff
2023-11-09,191.235,86.4222,159.7912,s1a-iw-grd-vv-20231109t005506-20231109t005531-051133-062ab8-001.tiff,s1a-iw-grd-vh-20231109t005506-20231109t005531-051133-062ab8-002.tiff
2023-12-27,185.9414,82.862,155.0176,s1a-iw-grd-vv-20231227t005504-20231227t005529-051833-0642ef-001.tiff,s1a-iw-grd-vh-20231227t005504-20231227t005529-051833-0642ef-002.tiff
