-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in UTC
Location: latitude  18.9738   longitude 75.2504 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) 
-END HEADER-
YEAR,DOY,PRECTOTCORR,GWETROOT
2023,1,0.0,0.65
2023,2,0.0,0.65
2023,3,0.0,0.65
2023,4,0.0,0.65
2023,5,0.0,0.65
2023,6,0.0,0.64
2023,7,0.0,0.64
2023,8,0.0,0.64
2023,9,0.0,0.64
2023,10,0.0,0.64
2023,11,0.0,0.63
2023,12,0.0,0.63
2023,13,0.0,0.63
2023,14,0.0,0.63
2023,15,0.0,0.63
2023,16,0.0,0.63
2023,17,0.0,0.62
2023,18,0.0,0.62
2023,19,0.0,0.62
2023,20,0.0,0.62
2023,21,0.0,0.62
2023,22,0.0,0.62
2023,23,0.0,0.62
2023,24,1.93,0.62
2023,25,2.51,0.62
2023,26,0.11,0.62
2023,27,0.0,0.62
2023,28,0.0,0.62
2023,29,0.0,0.61
2023,30,0.0,0.61
2023,31,0.0,0.61
2023,32,0.0,0.61
2023,33,0.0,0.61
2023,34,0.0,0.61
2023,35,0.0,0.61
2023,36,0.0,0.6
2023,37,0.0,0.6
2023,38,0.0,0.6
2023,39,0.0,0.6
2023,40,0.0,0.6
2023,41,0.0,0.6
2023,42,0.0,0.6
2023,43,0.0,0.6
2023,44,0.0,0.6
2023,45,0.0,0.6
2023,46,0.0,0.6
2023,47,0.0,0.6
2023,48,0.0,0.6
2023,49,0.0,0.59
2023,50,0.0,0.59
2023,51,0.0,0.59
2023,52,0.0,0.59
2023,53,0.0,0.59
2023,54,0.0,0.59
2023,55,0.0,0.59
2023,56,0.0,0.59
2023,57,0.0,0.59
2023,58,0.0,0.59
2023,59,0.0,0.59
2023,60,0.0,0.59
2023,61,0.0,0.59
2023,62,0.0,0.59
2023,63,0.0,0.59
2023,64,0.52,0.59
2023,65,3.08,0.59
2023,66,0.21,0.6
2023,67,0.28,0.6
2023,68,0.0,0.6
2023,69,0.0,0.6
2023,70,0.0,0.6
2023,71,0.0,0.6
2023,72,0.0,0.59
2023,73,0.0,0.59
2023,74,0.84,0.6
2023,75,3.17,0.6
2023,76,1.82,0.6
2023,77,3.95,0.61
2023,78,0.33,0.61
2023,79,0.12,0.6
2023,80,0.31,0.6
2023,81,0.0,0.6
2023,82,0.0,0.6
2023,83,0.0,0.6
2023,84,0.0,0.6
2023,85,0.0,0.6
2023,86,0.0,0.6
2023,87,0.0,0.59
2023,88,0.0,0.59
2023,89,0.0,0.59
2023,90,0.03,0.59
2023,91,0.0,0.59
2023,92,0.0,0.59
2023,93,0.0,0.59
2023,94,0.0,0.59
2023,95,0.0,0.59
2023,96,0.01,0.59
2023,97,1.88,0.59
2023,98,2.41,0.6
2023,99,0.87,0.6
2023,100,0.11,0.6
2023,101,0.03,0.6
2023,102,0.0,0.6
2023,103,0.16,0.6
2023,104,1.12,0.6
2023,105,0.43,0.6
2023,106,0.14,0.6
2023,107,0.0,0.6
2023,108,0.0,0.59
2023,109,0.04,0.59
2023,110,1.05,0.59
2023,111,0.0,0.59
2023,112,0.01,0.59
2023,113,0.0,0.59
2023,114,0.0,0.59
2023,115,0.0,0.59
2023,116,0.07,0.59
2023,117,0.08,0.59
2023,118,19.4,0.62
2023,119,7.73,0.64
2023,120,0.25,0.63
2023,121,0.18,0.62
2023,122,0.32,0.62
2023,123,2.09,0.61
2023,124,2.52,0.61
2023,125,0.04,0.61
2023,126,0.04,0.61
2023,127,3.0,0.61
2023,128,0.48,0.61
2023,129,1.62,0.61
2023,130,0.4,0.6
2023,131,0.0,0.6
2023,132,0.0,0.6
2023,133,0.0,0.6
2023,134,0.0,0.6
2023,135,0.0,0.6
2023,136,0.0,0.6
2023,137,0.0,0.6
2023,138,0.0,0.59
2023,139,0.0,0.59
2023,140,0.0,0.59
2023,141,0.0,0.59
2023,142,0.13,0.59
2023,143,0.0,0.59
2023,144,0.0,0.59
2023,145,0.82,0.59
2023,146,0.53,0.59
2023,147,0.0,0.59
2023,148,0.0,0.59
2023,149,0.25,0.59
2023,150,0.16,0.59
2023,151,0.01,0.59
2023,152,0.23,0.59
2023,153,0.2,0.59
2023,154,0.4,0.59
2023,155,0.99,0.6
2023,156,0.11,0.6
2023,157,0.0,0.59
2023,158,0.0,0.59
2023,159,3.04,0.59
2023,160,0.44,0.6
2023,161,4.69,0.6
2023,162,0.0,0.6
2023,163,0.0,0.6
2023,164,0.05,0.6
2023,165,0.12,0.6
2023,166,0.01,0.6
2023,167,0.04,0.6
2023,168,0.01,0.6
2023,169,0.0,0.6
2023,170,0.0,0.6
2023,171,0.0,0.59
2023,172,0.0,0.59
2023,173,0.0,0.59
2023,174,0.04,0.59
2023,175,7.36,0.6
2023,176,2.39,0.61
2023,177,4.36,0.62
2023,178,9.4,0.62
2023,179,4.54,0.63
2023,180,2.98,0.63
2023,181,3.66,0.63
2023,182,1.83,0.63
2023,183,27.43,0.66
2023,184,8.04,0.68
2023,185,15.78,0.69
2023,186,4.62,0.69
2023,187,6.82,0.7
2023,188,5.72,0.7
2023,189,0.57,0.69
2023,190,0.19,0.69
2023,191,0.29,0.68
2023,192,2.06,0.68
2023,193,3.34,0.68
2023,194,1.55,0.68
2023,195,0.45,0.67
2023,196,2.43,0.67
2023,197,1.92,0.67
2023,198,1.67,0.67
2023,199,12.04,0.68
2023,200,2.98,0.69
2023,201,1.2,0.69
2023,202,4.93,0.69
2023,203,2.17,0.69
2023,204,3.8,0.69
2023,205,4.08,0.69
2023,206,12.85,0.71
2023,207,1.51,0.71
2023,208,14.93,0.72
2023,209,6.01,0.73
2023,210,1.42,0.72
2023,211,1.84,0.71
2023,212,1.7,0.71
2023,213,1.39,0.71
2023,214,0.15,0.7
2023,215,0.62,0.7
2023,216,1.22,0.7
2023,217,1.42,0.69
2023,218,0.33,0.69
2023,219,0.07,0.68
2023,220,0.27,0.68
2023,221,0.45,0.68
2023,222,0.37,0.67
2023,223,0.26,0.67
2023,224,0.33,0.67
2023,225,0.39,0.66
2023,226,0.24,0.66
2023,227,3.45,0.66
2023,228,0.18,0.66
2023,229,0.34,0.66
2023,230,1.25,0.66
2023,231,1.81,0.66
2023,232,1.96,0.66
2023,233,0.53,0.65
2023,234,1.05,0.65
2023,235,0.09,0.65
2023,236,0.5,0.65
2023,237,1.21,0.65
2023,238,1.5,0.64
2023,239,1.92,0.64
2023,240,0.72,0.64
2023,241,0.3,0.64
2023,242,1.05,0.63
2023,243,0.22,0.63
2023,244,4.61,0.63
2023,245,4.12,0.64
2023,246,5.24,0.64
2023,247,0.55,0.64
2023,248,0.0,0.64
2023,249,2.05,0.64
2023,250,5.99,0.64
2023,251,9.87,0.66
2023,252,4.33,0.66
2023,253,1.69,0.66
2023,254,0.06,0.65
2023,255,0.0,0.65
2023,256,0.5,0.65
2023,257,1.58,0.64
2023,258,2.04,0.65
2023,259,0.49,0.64
2023,260,0.48,0.64
2023,261,1.57,0.64
2023,262,0.34,0.64
2023,263,0.81,0.63
2023,264,26.08,0.66
2023,265,11.1,0.68
2023,266,17.02,0.7
2023,267,2.35,0.71
2023,268,6.29,0.7
2023,269,22.31,0.72
2023,270,6.66,0.73
2023,271,10.4,0.74
2023,272,11.51,0.74
2023,273,3.12,0.74
2023,274,9.77,0.74
2023,275,6.06,0.75
2023,276,0.11,0.74
2023,277,0.0,0.73
2023,278,0.0,0.72
2023,279,0.0,0.72
2023,280,0.0,0.71
2023,281,0.0,0.7
2023,282,0.0,0.7
2023,283,0.0,0.69
2023,284,0.0,0.69
2023,285,0.0,0.68
2023,286,0.0,0.68
2023,287,0.0,0.67
2023,288,0.0,0.67
2023,289,0.0,0.67
2023,290,0.4,0.67
2023,291,0.04,0.66
2023,292,0.02,0.66
2023,293,0.0,0.66
2023,294,0.0,0.65
2023,295,0.0,0.65
2023,296,0.0,0.65
2023,297,0.0,0.65
2023,298,0.0,0.64
2023,299,0.0,0.64
2023,300,0.0,0.64
2023,301,0.0,0.64
2023,302,0.0,0.63
2023,303,0.0,0.63
2023,304,0.0,0.63
2023,305,0.0,0.63
2023,306,0.0,0.62
2023,307,0.0,0.62
2023,308,0.0,0.62
2023,309,0.0,0.62
2023,310,0.0,0.62
2023,311,0.21,0.62
2023,312,1.46,0.62
2023,313,0.07,0.62
2023,314,3.58,0.62
2023,315,0.0,0.62
2023,316,0.0,0.62
2023,317,0.0,0.62
2023,318,0.0,0.61
2023,319,0.0,0.61
2023,320,0.0,0.61
2023,321,0.0,0.61
2023,322,0.0,0.61
2023,323,0.0,0.61
2023,324,0.0,0.61
2023,325,0.0,0.6
2023,326,0.0,0.6
2023,327,0.0,0.6
2023,328,0.0,0.6
2023,329,0.21,0.6
2023,330,14.19,0.61
2023,331,5.72,0.64
2023,332,3.26,0.64
2023,333,2.26,0.64
2023,334,12.31,0.64
2023,335,2.81,0.65
2023,336,0.02,0.65
2023,337,0.0,0.64
2023,338,0.0,0.64
2023,339,0.0,0.63
2023,340,0.01,0.63
2023,341,0.0,0.63
2023,342,0.0,0.63
2023,343,0.0,0.62
2023,344,0.0,0.62
2023,345,0.0,0.62
2023,346,0.0,0.62
2023,347,0.0,0.62
2023,348,0.0,0.61
2023,349,0.0,0.61
2023,350,0.0,0.61
2023,351,0.0,0.61
2023,352,0.0,0.61
2023,353,0.0,0.61
2023,354,0.0,0.61
2023,355,0.0,0.61
2023,356,0.0,0.6
2023,357,0.0,0.6
2023,358,0.0,0.6
2023,359,0.0,0.6
2023,360,0.0,0.6
2023,361,0.0,0.6
2023,362,0.0,0.6
2023,363,0.0,0.6
2023,364,0.0,0.6
2023,365,0.0,0.6
