-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in UTC
Location: latitude  18.9738   longitude 75.2504 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,T2M
2023,1,19.37
2023,2,19.3
2023,3,19.95
2023,4,19.85
2023,5,20.9
2023,6,20.64
2023,7,19.63
2023,8,17.79
2023,9,18.03
2023,10,19.14
2023,11,19.59
2023,12,18.5
2023,13,18.41
2023,14,18.31
2023,15,20.37
2023,16,19.99
2023,17,20.97
2023,18,22.04
2023,19,22.18
2023,20,21.06
2023,21,20.9
2023,22,20.91
2023,23,21.0
2023,24,21.36
2023,25,21.54
2023,26,22.86
2023,27,21.78
2023,28,21.96
2023,29,22.35
2023,30,22.82
2023,31,22.69
2023,32,22.0
2023,33,20.66
2023,34,20.58
2023,35,21.42
2023,36,23.15
2023,37,22.37
2023,38,21.94
2023,39,22.59
2023,40,23.76
2023,41,24.51
2023,42,23.73
2023,43,23.27
2023,44,22.61
2023,45,23.24
2023,46,23.84
2023,47,24.5
2023,48,24.51
2023,49,24.22
2023,50,25.0
2023,51,26.92
2023,52,26.0
2023,53,25.39
2023,54,25.06
2023,55,24.98
2023,56,25.34
2023,57,25.45
2023,58,26.29
2023,59,26.31
2023,60,26.65
2023,61,26.4
2023,62,27.26
2023,63,27.96
2023,64,27.44
2023,65,27.02
2023,66,25.7
2023,67,26.51
2023,68,25.95
2023,69,26.53
2023,70,26.84
2023,71,27.7
2023,72,27.35
2023,73,27.7
2023,74,27.92
2023,75,25.37
2023,76,24.34
2023,77,24.64
2023,78,23.98
2023,79,23.76
2023,80,24.13
2023,81,24.7
2023,82,24.94
2023,83,26.22
2023,84,26.12
2023,85,26.13
2023,86,25.89
2023,87,26.84
2023,88,27.57
2023,89,27.16
2023,90,26.2
2023,91,26.2
2023,92,27.21
2023,93,27.75
2023,94,29.32
2023,95,30.3
2023,96,30.57
2023,97,29.81
2023,98,26.46
2023,99,29.34
2023,100,30.33
2023,101,32.16
2023,102,32.05
2023,103,30.7
2023,104,30.34
2023,105,27.95
2023,106,31.84
2023,107,32.58
2023,108,33.03
2023,109,33.5
2023,110,32.08
2023,111,30.6
2023,112,29.36
2023,113,30.24
2023,114,30.96
2023,115,31.67
2023,116,29.47
2023,117,30.27
2023,118,27.93
2023,119,27.52
2023,120,27.32
2023,121,26.37
2023,122,27.92
2023,123,28.37
2023,124,28.4
2023,125,29.23
2023,126,29.23
2023,127,28.69
2023,128,30.44
2023,129,31.29
2023,130,32.21
2023,131,32.32
2023,132,32.55
2023,133,33.06
2023,134,32.01
2023,135,31.02
2023,136,30.67
2023,137,32.16
2023,138,32.66
2023,139,33.45
2023,140,33.12
2023,141,33.27
2023,142,33.76
2023,143,33.69
2023,144,32.5
2023,145,31.3
2023,146,30.51
2023,147,30.76
2023,148,31.95
2023,149,33.17
2023,150,32.82
2023,151,33.47
2023,152,32.84
2023,153,31.29
2023,154,30.92
2023,155,30.5
2023,156,30.91
2023,157,31.95
2023,158,32.04
2023,159,32.62
2023,160,31.6
2023,161,29.71
2023,162,30.02
2023,163,30.81
2023,164,30.26
2023,165,30.03
2023,166,30.2
2023,167,30.3
2023,168,29.95
2023,169,30.0
2023,170,30.31
2023,171,30.74
2023,172,30.37
2023,173,30.43
2023,174,29.96
2023,175,27.92
2023,176,27.16
2023,177,24.7
2023,178,24.12
2023,179,25.55
2023,180,25.45
2023,181,25.68
2023,182,26.28
2023,183,26.66
2023,184,27.15
2023,185,26.31
2023,186,25.62
2023,187,25.66
2023,188,25.81
2023,189,26.12
2023,190,25.21
2023,191,26.57
2023,192,26.2
2023,193,25.35
2023,194,25.29
2023,195,25.91
2023,196,25.89
2023,197,25.36
2023,198,25.92
2023,199,25.59
2023,200,25.67
2023,201,24.34
2023,202,24.33
2023,203,24.66
2023,204,25.91
2023,205,26.28
2023,206,24.87
2023,207,25.01
2023,208,24.63
2023,209,24.7
2023,210,25.68
2023,211,25.7
2023,212,26.25
2023,213,26.01
2023,214,24.82
2023,215,24.85
2023,216,25.58
2023,217,25.27
2023,218,25.77
2023,219,25.48
2023,220,25.72
2023,221,25.22
2023,222,26.09
2023,223,26.23
2023,224,25.97
2023,225,24.47
2023,226,25.79
2023,227,25.37
2023,228,26.16
2023,229,26.16
2023,230,24.92
2023,231,25.1
2023,232,25.54
2023,233,25.98
2023,234,25.82
2023,235,25.61
2023,236,26.1
2023,237,26.33
2023,238,26.4
2023,239,26.47
2023,240,26.13
2023,241,26.91
2023,242,27.09
2023,243,27.5
2023,244,28.29
2023,245,27.42
2023,246,26.88
2023,247,26.38
2023,248,26.74
2023,249,26.74
2023,250,24.39
2023,251,24.92
2023,252,25.88
2023,253,25.76
2023,254,26.8
2023,255,26.33
2023,256,25.91
2023,257,24.84
2023,258,24.8
2023,259,24.67
2023,260,26.1
2023,261,26.49
2023,262,26.88
2023,263,27.42
2023,264,25.76
2023,265,25.12
2023,266,24.25
2023,267,24.76
2023,268,25.53
2023,269,25.66
2023,270,25.2
2023,271,25.09
2023,272,25.44
2023,273,25.64
2023,274,25.83
2023,275,23.73
2023,276,25.06
2023,277,24.25
2023,278,23.99
2023,279,24.5
2023,280,25.23
2023,281,25.43
2023,282,25.61
2023,283,25.23
2023,284,25.39
2023,285,25.65
2023,286,25.93
2023,287,25.81
2023,288,25.93
