date,rainfall,soil_moisture,temperature,sar_proxy,sar_calibrated_moisture,sar_corrected_moisture,needs_irrigation,irrigation_amount,projected_moisture
2023-01-01,0.0,0.65,19.37,150.9873,0.6142407877039138,0.639272236311174,0,0.0,0.65
2023-01-02,0.0,0.65,19.3,,,0.65,0,0.0,0.65
2023-01-03,0.0,0.65,19.95,,,0.65,0,0.0,0.65
2023-01-04,0.0,0.65,19.85,,,0.65,0,0.0,0.65
2023-01-05,0.0,0.65,20.9,,,0.65,0,0.0,0.65
2023-01-06,0.0,0.64,20.64,,,0.64,0,0.0,0.64
2023-01-07,0.0,0.64,19.63,,,0.64,0,0.0,0.64
2023-01-08,0.0,0.64,17.79,,,0.64,0,0.0,0.64
2023-01-09,0.0,0.64,18.03,,,0.64,0,0.0,0.64
2023-01-10,0.0,0.64,19.14,,,0.64,0,0.0,0.64
2023-01-11,0.0,0.63,19.59,,,0.63,0,0.0,0.63
2023-01-12,0.0,0.63,18.5,,,0.63,0,0.0,0.63
2023-01-13,0.0,0.63,18.41,,,0.63,0,0.0,0.63
2023-01-14,0.0,0.63,18.31,,,0.63,0,0.0,0.63
2023-01-15,0.0,0.63,20.37,,,0.63,0,0.0,0.63
2023-01-16,0.0,0.63,19.99,,,0.63,0,0.0,0.63
2023-01-17,0.0,0.62,20.97,,,0.62,0,0.0,0.62
2023-01-18,0.0,0.62,22.04,,,0.62,0,0.0,0.62
2023-01-19,0.0,0.62,22.18,,,0.62,0,0.0,0.62
2023-01-20,0.0,0.62,21.06,,,0.62,0,0.0,0.62
2023-01-21,0.0,0.62,20.9,,,0.62,0,0.0,0.62
2023-01-22,0.0,0.62,20.91,,,0.62,0,0.0,0.62
2023-01-23,0.0,0.62,21.0,,,0.62,0,0.0,0.62
2023-01-24,1.93,0.62,21.36,,,0.62,0,0.0,0.62
2023-01-25,2.51,0.62,21.54,,,0.62,0,0.0,0.62
2023-01-26,0.11,0.62,22.86,,,0.62,0,0.0,0.62
2023-01-27,0.0,0.62,21.78,,,0.62,0,0.0,0.62
2023-01-28,0.0,0.62,21.96,,,0.62,0,0.0,0.62
2023-01-29,0.0,0.61,22.35,,,0.61,0,0.0,0.61
2023-01-30,0.0,0.61,22.82,,,0.61,0,0.0,0.61
2023-01-31,0.0,0.61,22.69,,,0.61,0,0.0,0.61
2023-02-01,0.0,0.61,22.0,,,0.61,0,0.0,0.61
2023-02-02,0.0,0.61,20.66,,,0.61,0,0.0,0.61
2023-02-03,0.0,0.61,20.58,,,0.61,0,0.0,0.61
2023-02-04,0.0,0.61,21.42,,,0.61,0,0.0,0.61
2023-02-05,0.0,0.6,23.15,,,0.6,0,0.0,0.6
2023-02-06,0.0,0.6,22.37,,,0.6,0,0.0,0.6
2023-02-07,0.0,0.6,21.94,,,0.6,0,0.0,0.6
2023-02-08,0.0,0.6,22.59,,,0.6,0,0.0,0.6
2023-02-09,0.0,0.6,23.76,,,0.6,0,0.0,0.6
2023-02-10,0.0,0.6,24.51,,,0.6,0,0.0,0.6
2023-02-11,0.0,0.6,23.73,,,0.6,0,0.0,0.6
2023-02-12,0.0,0.6,23.27,,,0.6,0,0.0,0.6
2023-02-13,0.0,0.6,22.61,,,0.6,0,0.0,0.6
2023-02-14,0.0,0.6,23.24,,,0.6,0,0.0,0.6
2023-02-15,0.0,0.6,23.84,,,0.6,0,0.0,0.6
2023-02-16,0.0,0.6,24.5,,,0.6,0,0.0,0.6
2023-02-17,0.0,0.6,24.51,,,0.6,0,0.0,0.6
2023-02-18,0.0,0.59,24.22,143.0176,0.6011619579158187,0.5933485873747456,1,0.040000000000000036,0.63
2023-02-19,0.0,0.59,25.0,,,0.59,1,0.040000000000000036,0.63
2023-02-20,0.0,0.59,26.92,,,0.59,1,0.040000000000000036,0.63
2023-02-21,0.0,0.59,26.0,,,0.59,1,0.040000000000000036,0.63
2023-02-22,0.0,0.59,25.39,,,0.59,1,0.040000000000000036,0.63
2023-02-23,0.0,0.59,25.06,,,0.59,1,0.040000000000000036,0.63
2023-02-24,0.0,0.59,24.98,,,0.59,1,0.040000000000000036,0.63
2023-02-25,0.0,0.59,25.34,,,0.59,1,0.040000000000000036,0.63
2023-02-26,0.0,0.59,25.45,,,0.59,1,0.040000000000000036,0.63
2023-02-27,0.0,0.59,26.29,,,0.59,1,0.040000000000000036,0.63
2023-02-28,0.0,0.59,26.31,,,0.59,1,0.040000000000000036,0.63
2023-03-01,0.0,0.59,26.65,,,0.59,1,0.040000000000000036,0.63
2023-03-02,0.0,0.59,26.4,,,0.59,1,0.040000000000000036,0.63
2023-03-03,0.0,0.59,27.26,,,0.59,1,0.040000000000000036,0.63
